latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.97255277,80.19142818,FLOOD,6953,N14,185,"Nanganallur, Chennai",0.034788,0.59,0.59,0.090116,SIDE_DRAIN,YES,GOOD,0.59 x 0.59,0.59,0.59,90.116423364,drain_size,drain_size,drain_len,90.116,34.788
12.98530135,80.17683998,FLOOD,4245,N12,159,"Meenambakkam, Chennai",0.006884,0.6,0.6,0.559155,SWD,YES,GOOD,0.60 x 0.60,0.6,0.6,559.154947404,drain_size,drain_size,drain_len,559.155,6.884
12.98922501,80.18541198,FLOOD,4557,N12,162,"Adambakkam, Chennai",0.045895,0.95,0.95,0.400232,SWD,YES,GOOD,0.95 x 0.95,0.95,0.95,400.231891806,drain_size,drain_size,drain_len,400.232,45.895
12.97686869,80.1935022,FLOOD,6868,N14,185,"Nanganallur, Chennai",0.010645,1.53,1.53,0.794761,SWD,YES,GOOD,1.53X1.53,1.53,1.53,794.761100859,drain_size,drain_size,drain_len,794.761,10.645
12.97770834,80.19380596,FLOOD,6868,N14,185,"Nanganallur, Chennai",0.007632,1.53,1.53,0.794761,SWD,YES,GOOD,1.53X1.53,1.53,1.53,794.761100859,drain_size,drain_size,drain_len,794.761,7.632
12.97949839,80.19460358,FLOOD,6868,N14,185,"Nanganallur, Chennai",0.005168,1.53,1.53,0.794761,SWD,YES,GOOD,1.53X1.53,1.53,1.53,794.761100859,drain_size,drain_size,drain_len,794.761,5.168
12.98092971,80.19526441,FLOOD,6867,N14,185,"Nanganallur, Chennai",0.007205,1.14,1.14,0.757409,SWD,YES,GOOD,1.14X1.14,1.14,1.14,757.408653516,drain_size,drain_size,drain_len,757.409,7.205
12.98199608,80.19589942,FLOOD,4824,N12,165,"Adambakkam, Chennai",0.068609,1.2,1.2,0.519683,SWD,YES,GOOD,1.2 x 1.2,1.2,1.2,519.683079077,drain_size,drain_size,drain_len,519.683,68.609
12.95934218,80.24459191,FLOOD,6505,N14,182,"Perungudi, Chennai",0.002519,1.39,1.39,0.535523,SWD,YES,GOOD,1.39 x 1.39,1.39,1.39,535.523,drain_size,drain_size,drain_len,535.523,2.519
12.95902296,80.24447858,FLOOD,6505,N14,182,"Perungudi, Chennai",0.007716,1.39,1.39,0.535523,SWD,YES,GOOD,1.39 x 1.39,1.39,1.39,535.523,drain_size,drain_size,drain_len,535.523,7.716
12.95875634,80.24434246,FLOOD,6505,N14,182,"Perungudi, Chennai",0.006947,1.39,1.39,0.535523,SWD,YES,GOOD,1.39 x 1.39,1.39,1.39,535.523,drain_size,drain_size,drain_len,535.523,6.947
12.96233213,80.24597425,FLOOD,6474,N14,182,"Perungudi, Chennai",0.033812,1.32,1.32,0.40037,SWD,YES,GOOD,1.32 x 1.32,1.32,1.32,400.37,drain_size,drain_size,drain_len,400.37,33.812
13.03326511,80.20966519,FLOOD,1999,N10,135,"T.Nagar, Chennai",0.027777,0.9,0.9,0.293674,SWD,YES,BAD,0.9 x 0.9,0.9,0.9,293.67440576,drain_size,drain_size,drain_len,293.674,27.777
13.03337878,80.20970542,FLOOD,1999,N10,135,"T.Nagar, Chennai",0.025488,0.9,0.9,0.293674,SWD,YES,BAD,0.9 x 0.9,0.9,0.9,293.67440576,drain_size,drain_size,drain_len,293.674,25.488
13.03347906,80.20972352,FLOOD,1999,N10,135,"T.Nagar, Chennai",0.025222,0.9,0.9,0.293674,SWD,YES,BAD,0.9 x 0.9,0.9,0.9,293.67440576,drain_size,drain_size,drain_len,293.674,25.222
13.03314752,80.20967625,FLOOD,1999,N10,135,"T.Nagar, Chennai",0.024507,0.9,0.9,0.293674,SWD,YES,BAD,0.9 x 0.9,0.9,0.9,293.67440576,drain_size,drain_size,drain_len,293.674,24.507
13.03524944,80.20977851,FLOOD,2027,N10,135,"T.Nagar, Chennai",0.006231,1.23,1.23,0.265607,SWD,YES,GOOD,1.23 x 1.23,1.23,1.23,265.606776947,drain_size,drain_size,drain_len,265.607,6.231
13.03509069,80.20992771,FLOOD,2027,N10,135,"T.Nagar, Chennai",0.021784,1.23,1.23,0.265607,SWD,YES,GOOD,1.23 x 1.23,1.23,1.23,265.606776947,drain_size,drain_size,drain_len,265.607,21.784
13.03666573,80.21224346,FLOOD,2011,N10,135,"T.Nagar, Chennai",0.004319,1.45,1.45,1.340976,SWD,YES,BAD,1.45 x 1.45,1.45,1.45,1340.97626454,drain_size,drain_size,drain_len,1340.976,4.319
13.03682611,80.21225151,FLOOD,2022,N10,135,"T.Nagar, Chennai",0.004778,1.1,1.1,0.162693,SWD,YES,GOOD,1.1 x 1.1,1.1,1.1,162.692817732,drain_size,drain_size,drain_len,162.693,4.778
13.03689078,80.21223843,FLOOD,2011,N10,135,"T.Nagar, Chennai",0.003118,1.45,1.45,1.340976,SWD,YES,BAD,1.45 x 1.45,1.45,1.45,1340.97626454,drain_size,drain_size,drain_len,1340.976,3.118
13.03706226,80.21225553,FLOOD,2011,N10,135,"T.Nagar, Chennai",0.004382,1.45,1.45,1.340976,SWD,YES,BAD,1.45 x 1.45,1.45,1.45,1340.97626454,drain_size,drain_size,drain_len,1340.976,4.382
13.03737681,80.21225922,FLOOD,2011,N10,135,"T.Nagar, Chennai",0.00436,1.45,1.45,1.340976,SWD,YES,BAD,1.45 x 1.45,1.45,1.45,1340.97626454,drain_size,drain_size,drain_len,1340.976,4.36
13.03765445,80.21225452,FLOOD,2011,N10,135,"T.Nagar, Chennai",0.003372,1.45,1.45,1.340976,SWD,YES,BAD,1.45 x 1.45,1.45,1.45,1340.97626454,drain_size,drain_size,drain_len,1340.976,3.372
13.03690417,80.21207515,FLOOD,2022,N10,135,"T.Nagar, Chennai",0.006727,1.1,1.1,0.162693,SWD,YES,GOOD,1.1 x 1.1,1.1,1.1,162.692817732,drain_size,drain_size,drain_len,162.693,6.727
13.03554962,80.20695616,FLOOD,2167,N10,138,"K.K.Nagar, Chennai",0.00983,1.4,1.4,1.124835,SWD,YES,GOOD,1.40 x 1.40,1.4,1.4,1124.83523829,drain_size,drain_size,drain_len,1124.835,9.83
13.0356316,80.20589802,FLOOD,2167,N10,138,"K.K.Nagar, Chennai",0.001479,1.4,1.4,1.124835,SWD,YES,GOOD,1.40 x 1.40,1.4,1.4,1124.83523829,drain_size,drain_size,drain_len,1124.835,1.479
13.03607256,80.20274777,FLOOD,2167,N10,138,"K.K.Nagar, Chennai",0.000488,1.4,1.4,1.124835,SWD,YES,GOOD,1.40 x 1.40,1.4,1.4,1124.83523829,drain_size,drain_size,drain_len,1124.835,0.488
13.03663405,80.19968636,FLOOD,2167,N10,138,"K.K.Nagar, Chennai",0.01179,1.4,1.4,1.124835,SWD,YES,GOOD,1.40 x 1.40,1.4,1.4,1124.83523829,drain_size,drain_size,drain_len,1124.835,11.79
13.0372798,80.19529894,FLOOD,2131,N10,137,"K.K.Nagar, Chennai",0.00948,1.19,1.19,0.540022,SWD,YES,GOOD,1.19 x 1.19,1.19,1.19,540.022279527,drain_size,drain_size,drain_len,540.022,9.48
13.03729809,80.20456363,FLOOD,2091,N10,136,"Ashok Nagar, Chennai",0.005485,1.48,1.48,0.251742,SWD,YES,GOOD,1.48 x 1.48,251.74232785962,1.48,251.74232786,drain_size,drain_size,drain_len,251.742,5.485
13.04049353,80.20510074,FLOOD,2045,N10,136,"Ashok Nagar, Chennai",0.008135,1.2,1.2,1.18151,SWD,YES,GOOD,1.2 x 1.2,1181.1091353796,1.2,1181.51006645,drain_size,drain_size,drain_len,1181.51,8.135
13.03851317,80.2084877,FLOOD,2006,N10,135,"T.Nagar, Chennai",0.002315,1.01,1.01,0.749981,SWD,YES,GOOD,1.01 x 1.01,1.01,1.01,749.981467023,drain_size,drain_size,drain_len,749.981,2.315
13.04044258,80.20873312,FLOOD,2068,N10,136,"Ashok Nagar, Chennai",0.003869,1.2,1.2,0.955642,SWD,YES,GOOD,1.2 x 1.2,955.642488167453,1.2,955.642488167,drain_size,drain_size,drain_len,955.642,3.869
13.04134636,80.20884611,FLOOD,2068,N10,136,"Ashok Nagar, Chennai",0.001534,1.2,1.2,0.955642,SWD,YES,GOOD,1.2 x 1.2,955.642488167453,1.2,955.642488167,drain_size,drain_size,drain_len,955.642,1.534
13.04187713,80.20896513,FLOOD,2006,N10,135,"T.Nagar, Chennai",0.005703,1.01,1.01,0.749981,SWD,YES,GOOD,1.01 x 1.01,1.01,1.01,749.981467023,drain_size,drain_size,drain_len,749.981,5.703
13.04313399,80.2091093,FLOOD,2068,N10,136,"Ashok Nagar, Chennai",0.001973,1.2,1.2,0.955642,SWD,YES,GOOD,1.2 x 1.2,955.642488167453,1.2,955.642488167,drain_size,drain_size,drain_len,955.642,1.973
13.03779327,80.21318257,FLOOD,1990,N10,135,"T.Nagar, Chennai",0.002462,1.1,1.1,0.885576,SWD,YES,GOOD,1.1 x 1.1,1.1,1.1,885.57620588,drain_size,drain_size,drain_len,885.576,2.462
