latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
13.015,80.3,BACKGROUND,5450,N13,171,"Mandaveli, Chennai",2.749046,0.9,0.9,0.366818,SWD,YES,GOOD,0.9 x 0.9,0.91,0.91,366.81836991,drain_size,drain_size,drain_len,366.818,2749.046
13.02,80.11,BACKGROUND,3216,N11,150,"Porur, Chennai",3.787577,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,3787.577
13.02,80.17,BACKGROUND,3931,N12,156,"Ramapuram, Chennai",0.024084,0.5,0.5,0.153707,OPEN_DRAIN,YES,GOOD,0.5 x 0.5,0.5,0.5,153.706661431,drain_size,drain_size,drain_len,153.707,24.084
13.02,80.245,BACKGROUND,5351,N13,170,"CIT Campus, Chennai",0.020615,0.9,0.9,0.218505,SIDE_DRAIN,YES,GOOD,0.9 x 0.9,0.9,0.9,218.505335905,drain_size,drain_size,drain_len,218.505,20.615
13.02,80.305,BACKGROUND,5450,N13,171,"Mandaveli, Chennai",3.219562,0.9,0.9,0.366818,SWD,YES,GOOD,0.9 x 0.9,0.91,0.91,366.81836991,drain_size,drain_size,drain_len,366.818,3219.562
13.025,80.115,BACKGROUND,3216,N11,150,"Porur, Chennai",3.013249,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,3013.249
13.025,80.175,BACKGROUND,3662,N11,154,"Ramapuram, Chennai",0.086558,1.15,1.15,0.48334,SWD,YES,GOOD,1.15 x 1.15,1.15,1.15,483.340238164,drain_size,drain_size,drain_len,483.34,86.558
13.025,80.235,BACKGROUND,2264,N10,141,"T.Nagar, Chennai",0.298776,1.18,1.18,0.369443,SWD,YES,GOOD,1.18 x 1.18,1.18,1.18,369.443497763,drain_size,drain_size,drain_len,369.443,298.776
13.025,80.3,BACKGROUND,1377,N09,125,"Pattinapakkam, Chennai",2.575451,0.8,0.8,0.104015,SWD,YES,GOOD,0.8 x 0.8,0.8,0.8,104.015112545,drain_size,drain_size,drain_len,104.015,2575.451
13.03,80.105,BACKGROUND,3216,N11,150,"Porur, Chennai",3.550422,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,3550.422
13.03,80.165,BACKGROUND,3598,N11,153,"Porur, Chennai",0.044623,0.63,0.63,0.187327,SWD,YES,GOOD,0.63X0.63,0.63,0.63,187.326666659,drain_size,drain_size,drain_len,187.327,44.623
13.03,80.255,BACKGROUND,1297,N09,123,"Mandaveli, Chennai",0.089813,0.87,0.87,0.207937,SWD,YES,GOOD,0.87 x 0.87,0.87,0.87,207.937419054,drain_size,drain_size,drain_len,207.937,89.813
13.03,80.32,BACKGROUND,1376,N09,125,"Pattinapakkam, Chennai",4.548293,0.95,0.95,0.203049,SWD,YES,GOOD,0.95 x 0.95,0.95,0.95,203.04860347,drain_size,drain_size,drain_len,203.049,4548.293
13.035,80.125,BACKGROUND,3216,N11,150,"Porur, Chennai",1.465072,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,1465.072
13.035,80.185,BACKGROUND,3804,N11,155,"Ramapuram, Chennai",0.036799,1.12,1.12,0.356742,SWD,YES,GOOD,1.12 x 1.12,1.12,1.12,356.741550761,drain_size,drain_size,drain_len,356.742,36.799
13.035,80.305,BACKGROUND,1376,N09,125,"Pattinapakkam, Chennai",2.844084,0.95,0.95,0.203049,SWD,YES,GOOD,0.95 x 0.95,0.95,0.95,203.04860347,drain_size,drain_size,drain_len,203.049,2844.084
13.04,80.11,BACKGROUND,3216,N11,150,"Porur, Chennai",2.659754,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,2659.754
13.04,80.17,BACKGROUND,3476,N11,152,"Valasaravakkam, Chennai",0.040308,0.72,0.72,0.154059,SWD,YES,GOOD,0.72 x 0.72,0.72,0.72,154.058541963,drain_size,drain_size,drain_len,154.059,40.308
13.04,80.295,BACKGROUND,1376,N09,125,"Pattinapakkam, Chennai",1.721797,0.95,0.95,0.203049,SWD,YES,GOOD,0.95 x 0.95,0.95,0.95,203.04860347,drain_size,drain_size,drain_len,203.049,1721.797
